delta,size
3542644,4223.874612
5547560,91.812491
72378215,27.000952
30485564,52.860679
8314451,81.266782
6137875,51.111974
84899621,34.036562
20842020,76.617
11714796,24250.97134
16557493,132.168099
13247649,25.35018
15874069,131.251
14161075,170.067572
11333039,62.292796
61425572,105.398415
11624602,26.69225
69155879,46.222781
6434765,53.678
5440717,4217.951702
34974246,14.144969
26285107,131.896785
27967964,166.902918
22636359,56.170196
33599105,129.99
12399921,368
5016428,5117.765295
16945441,56.446327
20666201,53.30638
52801625,54.966154
5614911,500
19218800,90.831656
3979907,4954.595365
50388482,49.501793
5092047,3224.427318
22323960,101.702429
47569284,97.749412
8533217,126.398822
5360188,263.504651
6710237,337.969661
8098458,85.3491
10188990,267.993855
8977194,191.459831
11867985,147.98489
14536106,131.370511
62042888,26.037373
4608953,116.917911
5768474,2242.091073
25775004,21
25989204,54.49
10033370,106.761488
31913445,57.292854
12327982,72.782663
7337720,113.394598
102264038,3872.15837
10072156,93.45841
4697091,4218.971852
19392310,85.252641
72339435,36.12089
4723182,3777.893324
48624481,44.777894
10461894,95.417276
3777540,4267.018871
12205584,48.562264
4390851,1049.790659
5035410,4150.718724
10105598,23.04144
25095208,263.417207
105300865,37.06995
7294427,6973.766916
5574086,3248.374232
3552227,87.799114
22762492,65.149
9881828,266.006674
23256783,45.229935
14763772,1609.447
4919663,4210.169779
18764830,105.781143
12522855,110.335623
28995390,120.28797
6050171,28.274758
9262652,70.201823
5930561,134.454533
3490088,135.288998
10597842,104.435473
4580265,5032.284845
12744149,104.253461
57807716,36.524
17195901,182.971545
10466025,42.068
21054806,113.337324
27666328,73.419463
64211855,34.071774
44653126,89.714
20542300,66.518008
3731636,9348.003044
42181597,49.562233
4673413,97.890941
11683224,54.649598
12555261,105.073635
25738838,21
8278682,185.541
21906656,107.235396
17512855,73.736054
30952171,79.804686
8791014,109.705628
20422793,11.932775
29567195,49.722197
12407153,101.955295
36841332,38.690554
25764690,102.099283
15179136,35.494923
9729263,145.12083
30298180,47.482143
18606629,40.74584
44415397,67.486835
4901776,89.743798
19147870,33.368493
45944749,54.50547
21790354,86.03
37217198,99
66958954,83.474342
40317985,63.768318
4170157,5073.512755
8982528,175.307016
30433778,89.134
11337402,30.382178
60022569,37.486838
12694110,56.395487
4746285,4445.249552
7769905,54.102752
18668248,100.361239
26671986,27.63243
14924133,502.854587
10618135,82.310668
33244543,33.892164
29475925,133.073999
13040836,55.799052
4484086,62.85195
11382126,68.183724
20693194,154.649128
6688494,264.570643
18817542,105.457566
97865532,38.579274
17045848,110.275366
16521274,130.488273
48966237,35.742964
21742013,89.850344
37899327,73.973367
6119695,33.7609
7578643,107.006019
26913964,54.625941
11553117,47.154823
32381157,130.219176
18265098,26.506135
5931495,1048.214082
4874938,72.176855
7232638,67.155125
3806188,5265.044103
11296139,290.195981
35912069,104.731131
158703585,23.01
3747685,26.584675
7834140,59.525116
6979878,133.575655
155128700,25.97
17833516,100.226931
7173960,178.765034
51210719,56.646181
25706403,21
29258586,53.45211
4355069,125.196122
6405755,152.135611
15780159,49.387909
22240657,26.562433
18669234,261.464318
9890948,144.56726
19362877,80.426983
31363603,55.092752
12179451,139.263
